Play_no,yd_line,Down,Distance,Play,yds_gained
1,-24,1,10,WAR,-2
2,-23,2,11,DOOR,1
3,-24,3,10,VERMONT,11
4,-30,1,10,CORK,2
5,-32,2,8,GLOCK,12
6,-43,1,10,WOLF,-3
7,-40,2,13,YANKEE,15
8,45,1,10,BRUINS,2
9,43,2,8,CRICKET,2
10,41,3,6,LAP,0
11,41,4,6,CRIPPLE,6
12,35,1,10,BRUINS,7
13,28,2,3,BACKACHE,25
14,1,1,1,PELICAN,2
15,-25,1,10,BLAZERS,3
16,-28,2,6,SNAIL,1
17,-28,3,5,CHIN,0
18,-35,1,10,STOGIE,0
19,-35,2,10,ROBBER,4
20,-39,3,6,RAM,17
21,44,1,10,WILD,0
22,-20,1,10,DOLL,4
23,-24,2,6,FLORIDA,0
24,-24,3,6,CHESS,16
25,-40,1,10,COLA,15
26,45,1,10,SODA,9
27,37,2,2,CASTLE,0
28,37,3,2,JETER,22
29,15,1,10,WHEEL,0
30,15,2,10,WOLF,-2
31,17,3,12,CROSS,4
32,-23,1,10,BLAZERS,1
33,-24,2,9,SPADE,0
34,-17,1,10,COLA,6
35,-23,2,4,WILD,-1
36,-22,3,5,RAIDER,6
37,-28,1,10,CORK,6
38,-34,2,4,CHORE,22
39,44,1,10,LAP,3
41,28,1,10,PEEL,5
42,23,2,5,DOLL,-7
43,30,3,12,RACE,0
44,30,4,12,TEBOW,-3
45,-34,1,10,DOOR,5
46,-39,2,5,COLA,16
47,45,1,10,DOOR,1
48,44,2,9,GIANT,0
49,44,3,9,RANDY,0
50,44,4,9,CROW,0
51,-16,1,10,WIRE,1
52,-17,2,9,DROP,1
53,-18,3,8,CHESS,6
54,-24,4,2,DOOR,6
55,-30,1,10,POKE,18
56,-48,1,10,DOVER,4
57,48,2,6,CHORE,1
58,47,3,5,CRIPPLE,12
59,35,1,10,PIEROGI,0
60,35,2,10,CROW,2
61,19,1,10,YANKEE,0
62,19,2,10,SNIPED,6
63,13,3,4,ROLL,-3
64,16,4,7,VERMONT,0
66,8,2,10,CHESS,8
67,3,0,3,CRICKET,3
68,-22,1,10,CRIPPLE,4
69,-26,2,6,BACKACHE,24
70,50,1,10,RACE,4
71,46,2,6,FLORIDA,20
72,26,1,10,ISLAND,6
73,21,2,5,BACKACHE,-15
74,36,2,20,CROW,0
75,36,3,20,VERMONT,0
1,-17,1,10,CORK,11
2,-28,1,10,WIRE,3
3,-31,2,7,CHESS,18
5,-49,2,10,BLAZERS,10
6,41,1,10,POKE,17
7,24,1,10,SPOCK,24
8,-25,1,10,PARROT,7
9,-32,2,3,WAR,17
10,-49,1,10,BILLS,5
11,46,2,5,COLA,40
12,6,1,6,BRONCO,6
13,-14,1,10,WOLF,5
14,-19,2,5,HUGO,35
15,46,1,10,CORK,8
16,38,2,2,WHEEL,14
17,24,1,10,COLA,1
18,23,2,9,OSCAR,5
20,18,3,4,DOLL,9
21,9,1,9,COLA,0
22,9,1,9,SWARM,9
23,50,1,10,NARCOS,29
24,21,1,10,FLORIDA,-8
25,29,2,18,WIRE,8
26,21,3,10,RACE,5
27,16,4,5,CHINA,-5
28,21,4,10,BACKACHE,0
29,-41,1,10,SLOP,9
30,50,2,1,BILLS,2
31,48,1,10,WIRE,1
32,47,2,9,BLAZERS,6
33,41,3,3,GULLS,0
34,41,4,3,CHINA,18
35,23,1,10,RAT,6
36,17,2,4,BLAZERS,17
37,-39,1,10,POLICE,24
38,37,1,10,CRIPPLE,7
39,30,2,3,ISLAND,0
40,-20,1,10,DOLL,2
42,-47,1,10,CROSS,29
43,24,1,10,COLA,6
44,18,2,4,WAVE,0
45,18,3,4,SNIPED,14
46,4,1,4,GLIZZY,1
48,3,3,3,DOOR,3
49,-46,1,10,CORK,15
50,39,1,10,NARCOS,0
51,39,2,10,WOLF,8
52,31,3,2,DOOR,31
53,-22,1,10,COLA,2
54,-24,2,8,COLA,10
55,-34,1,10,WOLF,5
56,-39,1,5,WOLF,11
57,50,1,10,WOLF,10
58,40,1,10,BLAZERS,10
59,30,1,10,PIEROGI,0
60,30,2,10,WIRE,2
61,28,3,8,POLICE,11
62,17,1,10,GULLS,-5
63,22,1,15,GULLS,-1
64,23,2,16,WHEEL,22
65,1,1,1,GRIFFINS,1
66,-23,1,10,BRUINS,11
67,-34,1,10,PELICAN,-1
68,-33,2,11,GRIFFINS,5
70,-33,3,11,SMASH,20
71,47,1,10,DOLL,1
72,46,2,9,COLA,6
